Time (UTC),Open,High,Low,Close,Volume
2007.03.18 21:00:00,1.33134,1.33251,1.32795,1.33003,1654327.9
2007.03.19 21:00:00,1.33025,1.33224,1.32715,1.33181,2193375.4
2007.03.20 21:00:00,1.33177,1.33892,1.32876,1.33844,2222688.7
2007.03.21 21:00:00,1.33887,1.34104,1.33099,1.33306,2226211
2007.03.22 21:00:00,1.33289,1.33419,1.32787,1.32819,2230654.4
2007.03.25 21:00:00,1.32871,1.33468,1.32547,1.33292,644489.4
2007.03.26 21:00:00,1.33305,1.33628,1.33022,1.33508,513998.5
2007.03.27 21:00:00,1.33488,1.33731,1.33017,1.33125,509993.9
2007.03.28 21:00:00,1.33122,1.33528,1.32999,1.333,518651
2007.03.29 21:00:00,1.33236,1.33996,1.32889,1.3356,778280.4
2007.04.01 21:00:00,1.3374,1.33817,1.33321,1.33657,1119298.82
2007.04.02 21:00:00,1.33656,1.33808,1.33207,1.33298,1133776.24
2007.04.03 21:00:00,1.33309,1.33815,1.33189,1.3368,1185596.37
2007.04.04 21:00:00,1.3368,1.3442,1.3354,1.3431,1004615.34
2007.04.05 21:00:00,1.3431,1.34335,1.3365,1.33805,357716.64
2007.04.08 21:00:00,1.33795,1.33808,1.3341,1.3355,417271.366
2007.04.09 21:00:00,1.33555,1.34565,1.33491,1.344,1171161.915
2007.04.10 21:00:00,1.344,1.34425,1.3408,1.3432,906567.591
2007.04.11 21:00:00,1.34325,1.35055,1.34272,1.3484,924121.28
2007.04.12 21:00:00,1.34808,1.3556,1.348,1.3532,466460.9807
2007.04.15 21:00:00,1.3559,1.35775,1.35232,1.3535,855141.71
2007.04.16 21:00:00,1.3536,1.35955,1.35243,1.3568,1033188.362
2007.04.17 21:00:00,1.3568,1.3617,1.35565,1.361,1101091.519
2007.04.18 21:00:00,1.3612,1.3621,1.35615,1.3614,883818.16
2007.04.19 21:00:00,1.3614,1.3638,1.3587,1.3593,976983.76
2007.04.22 21:00:00,1.35989,1.3608,1.35415,1.3578,608880.348
2007.04.23 21:00:00,1.3578,1.3644,1.3549,1.3641,1065060.97
2007.04.24 21:00:00,1.3642,1.36665,1.36225,1.364,860216.9
2007.04.25 21:00:00,1.3639,1.36555,1.3585,1.3602,1263630.88
2007.04.26 21:00:00,1.3602,1.3683,1.3586,1.3654,1024236.708
2007.04.29 21:00:00,1.36321,1.36789,1.359,1.36478,503960.3
2007.04.30 21:00:00,1.36471,1.36727,1.35909,1.36039,499492.9
2007.05.01 21:00:00,1.36033,1.36111,1.35613,1.35919,498276.4
2007.05.02 21:00:00,1.35911,1.36209,1.3548,1.355,500012.9
2007.05.03 21:00:00,1.35495,1.36104,1.35356,1.35909,500519
2007.05.06 21:00:00,1.36025,1.36265,1.35893,1.3601,506534.2
2007.05.07 21:00:00,1.36007,1.36214,1.3517,1.35438,504869.2
2007.05.08 21:00:00,1.35437,1.35652,1.35199,1.35278,505196.9
2007.05.09 21:00:00,1.35273,1.35635,1.34666,1.34851,507636.7
2007.05.10 21:00:00,1.34845,1.35317,1.34637,1.35238,507333.7
2007.05.13 21:00:00,1.35353,1.35584,1.35251,1.35448,500018.8
2007.05.14 21:00:00,1.3544,1.36088,1.35278,1.35903,503812.4
2007.05.15 21:00:00,1.359,1.36095,1.35061,1.35157,506175.9
2007.05.16 21:00:00,1.3515,1.35437,1.34785,1.34939,505196.2
2007.05.17 21:00:00,1.34935,1.35214,1.34658,1.35069,504414.2
2007.05.20 21:00:00,1.35133,1.35298,1.34369,1.34685,364856.8
2007.05.21 21:00:00,1.34682,1.34761,1.34393,1.34486,492534.2
2007.05.22 21:00:00,1.34485,1.35016,1.34161,1.34595,500485.2
2007.05.23 21:00:00,1.34595,1.34629,1.34161,1.34285,493811.4
2007.05.24 21:00:00,1.34285,1.34726,1.3413,1.3439,493280.5
2007.05.27 21:00:00,1.34475,1.34592,1.34417,1.34492,494474.8
2007.05.28 21:00:00,1.34525,1.352,1.34207,1.34484,504029.9
2007.05.29 21:00:00,1.34486,1.3458,1.34095,1.34278,499175.3
2007.05.30 21:00:00,1.34287,1.3472,1.34233,1.34528,498504.1
2007.05.31 21:00:00,1.34525,1.34617,1.33935,1.34449,500547.2
2007.06.03 21:00:00,1.3442,1.34988,1.34327,1.34898,631357.8
2007.06.04 21:00:00,1.34895,1.35525,1.34866,1.35238,488822
2007.06.05 21:00:00,1.35232,1.35385,1.34864,1.35039,490535.2
2007.06.06 21:00:00,1.35037,1.35125,1.34224,1.34328,493268.9
2007.06.07 21:00:00,1.34321,1.34359,1.33235,1.33724,492309.8
2007.06.10 21:00:00,1.33681,1.33731,1.3334,1.33577,349307.3
2007.06.11 21:00:00,1.33574,1.33696,1.33013,1.33017,479928.2
2007.06.12 21:00:00,1.33013,1.33157,1.32641,1.33102,478544.6
2007.06.13 21:00:00,1.33115,1.33238,1.32802,1.33117,485925.9
2007.06.14 21:00:00,1.33116,1.33893,1.33054,1.33877,483149.5
2007.06.17 21:00:00,1.33775,1.34181,1.33755,1.34141,618396.4
2007.06.18 21:00:00,1.34119,1.34358,1.33849,1.34269,476553.6
2007.06.19 21:00:00,1.34272,1.34375,1.33961,1.34037,483656.5
2007.06.20 21:00:00,1.34038,1.34086,1.33728,1.33897,482919.1
2007.06.21 21:00:00,1.33894,1.34698,1.33791,1.34692,477690.7
2007.06.24 21:00:00,1.34658,1.34733,1.34398,1.34623,334098.8
2007.06.25 21:00:00,1.34623,1.34774,1.34332,1.34537,470099.5
2007.06.26 21:00:00,1.34532,1.34595,1.34177,1.34524,474452.8
2007.06.27 21:00:00,1.34525,1.34798,1.34244,1.34488,479231.8
2007.06.28 21:00:00,1.34484,1.35417,1.34295,1.35407,477212
2007.07.01 21:00:00,1.35368,1.36388,1.35278,1.36223,601682
2007.07.02 21:00:00,1.36213,1.36362,1.35847,1.36083,454896.6
2007.07.03 21:00:00,1.36092,1.36309,1.36039,1.36125,450222
2007.07.04 21:00:00,1.36125,1.36584,1.35798,1.35988,459925.4
2007.07.05 21:00:00,1.35984,1.36411,1.35697,1.36263,456397.2
